iter	Logloss
0	0.6842737119
1	0.6792733689
2	0.6726014319
3	0.665786554
4	0.6612409481
5	0.6555192175
6	0.6503787711
7	0.6452414773
8	0.6401647142
9	0.6356824134
10	0.6300251858
11	0.6250443892
12	0.6209456389
13	0.6171267171
14	0.6140726263
15	0.6109205514
16	0.6075476024
17	0.6050576454
18	0.6015448452
19	0.5981196884
20	0.5941786963
21	0.5907115463
22	0.5866595182
23	0.5835394741
24	0.5798140597
25	0.5768699961
26	0.5734215098
27	0.570090554
28	0.5682664351
29	0.566093634
30	0.5632412493
31	0.5605604314
32	0.5590477305
33	0.5565046831
34	0.5541690795
35	0.5515645555
36	0.5505214723
37	0.5482269792
38	0.546148442
39	0.5439105704
40	0.5412105844
41	0.5395210203
42	0.5372816354
43	0.5353219529
44	0.5330263248
45	0.5311400358
46	0.5298927244
47	0.5285486899
48	0.5263168398
49	0.5244443909
50	0.5226219745
51	0.5214613607
52	0.5200362087
53	0.5192176882
54	0.5178506709
55	0.5163159962
56	0.5145010199
57	0.5131104209
58	0.5116319893
59	0.510313302
60	0.5088636225
61	0.5073640366
62	0.5061584977
63	0.5055764569
64	0.5037650747
65	0.5025422908
66	0.5012596698
67	0.5002895387
68	0.4986129004
69	0.4975853912
70	0.4966329464
71	0.4950833912
72	0.4943433399
73	0.4935598137
74	0.4924108332
75	0.4904281049
76	0.4895554535
77	0.4885764004
78	0.4875786521
79	0.4860769225
80	0.4854333736
81	0.4841736092
82	0.4828150726
83	0.4811293547
84	0.4804135157
85	0.479324593
86	0.4780929818
87	0.4765822986
88	0.4755213083
89	0.4752064224
90	0.4744661505
91	0.4735769477
92	0.4721522055
93	0.4717823375
94	0.4708668102
95	0.4701109011
96	0.469522555
97	0.468895526
98	0.4683528301
99	0.4676683915
100	0.4668355894
101	0.4654903254
102	0.46470888
103	0.4634833848
104	0.4623404889
105	0.4611918552
106	0.4601645982
107	0.4597507193
108	0.4592939645
109	0.4590117715
110	0.4580937535
111	0.4573287018
112	0.4568837694
113	0.4563772028
114	0.4554935172
115	0.4548092361
116	0.4539504879
117	0.4532767682
118	0.4527255917
119	0.4522096933
120	0.4519359179
121	0.4512634277
122	0.4504079582
123	0.4499837071
124	0.4495915815
125	0.449023034
126	0.4485104143
127	0.447538896
128	0.4469428575
129	0.4463585152
130	0.4456365286
131	0.4446827912
132	0.4443527726
133	0.443634979
134	0.4429780314
135	0.4429074752
136	0.4421669196
137	0.4412967272
138	0.4406585063
139	0.4399136315
